S.No,Job Title,Company Name,Company URL,Salary,Location,Experience,Description,Tags
423,"Sr. Manager, AI Product Engineer",Pfizer,https://www.naukri.com/pfizer-jobs-careers-15878,Not disclosed,Chennai,6-9 Yrs,"Experience with Conversational design flow principals for chat, voice and avatar based ...","Computer science, Solution architecture, Machine learning, enterprise business, Performance testing, Agile, Software development life cycle, Operations"
424,Java Developer,HCLTech,https://www.naukri.com/hcltech-jobs-careers-460,6-9.5 Lacs PA,Hybrid - Chennai,3-5 Yrs,We do have the urgent opening for the role of Java developer with 3+ years of experienc...,"Hibernate, Docker, PLSQL, Spring Boot, Oracle, Java, Spring, Boot"
425,Senior Software Engineer - Embedded,Quest Global,https://www.naukri.com/quest-global-jobs-careers-33042,5-10 Lacs PA,"Chennai, India",3-6 Yrs,Bachelors degree in computer/ Electronics Engineering with 3 to 6 years of work experie...,"c++, device drivers, bitbucket, gerrit, rtos, git, yocto, embedded systems"
426,Mega drive For AEM(Adobe Experience Manager) Developer - 26th April 25,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,Not disclosed,Hybrid - Chennai,No Experience Info,We are looking for AEM Frontend developers with the following skills and roles and res...,"CSS, Javascript, HTML, JQuery, Management, Adobe Experience Management, Adobe, Aem"
427,Adobe Workfront Fusion,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,15-25 Lacs PA,Hybrid - Chennai,No Experience Info,Skill Area:  Workfront Fusion Workfront Understanding of different Adobe Workfront Obj...,"Workfusion, Data Modeling, Object types, Modeling, Workfront, Typing, Object, Adobe"
428,"NMS TESTING I 4 To 12 I BENGALURU,",Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,Not disclosed,Chennai,5-8 Yrs,"Experience in monitoring, alerting, and troubleshooting . Experience in Robot framework...","NMS TESTING I 4 TO 12 YEARS I BENGALURU, CHENNAI, tcp, cli, ip, snmp, performance management, Performance"
429,Fault Management Engineer,Nokia,https://www.naukri.com/nokia-jobs-careers-173783,Not disclosed,Chennai,3-5 Yrs,"Well versed with TDM SwitchingPRI, BRI, E1, T1, SS7, SIP, Q931, ISUP CALL FLOW, DMS Swi...","ss7, bri, sip, ewsd, e1, switching, gsm, noc"
430,Fault Management Specialist,Nokia,https://www.naukri.com/nokia-jobs-careers-173783,Not disclosed,Chennai,10-15 Yrs,"Well versed with TDM SwitchingPRI, BRI, E1, T1, SS7, SIP, Q931, ISUP CALL FLOW, DMS Swi...","ss7, bri, sip, ewsd, e1, switching, gsm, isdn"
431,Datacom Developer I 3-6 years I Chennai,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,Not disclosed,Chennai,3-6 Yrs,Hands-on experience with router and switch software developmentExperience on Metaswitch...,"evpn, routing, mpls, protocols, te, switching, eigrp, l3vpn"
432,Sr Java Developer,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,Not disclosed,Chennai,5-8 Yrs,About The Role  This role involves the development and application of engineering prac...,"application software, java development, iot, java, embedded software, gsm, c++, node b"
